oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr,distance_delight,hostsize
ZTF24abislzl,2024-09-23,bad,72.0,18.780384,24.883939743041992,19.0083373072937,19.29007969335937,19.65575423614502,20.841365337371823,22.82492570877076,0.5354791889993136,25.0,18.780384,20.457392,18.9615244,19.187733,19.333647,19.599182,19.9688448,0.119855843116391,3.099875317589375,4.864923000335693
ZTF24abityxo,,good,62.0,18.617096,20.71679878234864,18.63617292719727,18.74987026916504,19.026899769592283,19.56196022033692,20.39388421356201,0.2931604712860566,29.0,18.617096,20.2699,18.6288588,18.73519,18.798326,19.332878,19.953282,0.1974730562627644,9.384597674436614,1.7122628688812256
ZTF24abitzlb,,good,24.0,19.754679,23.33296775817871,19.794276332855222,20.030951410675048,20.205134342956544,21.97012042999268,23.138086891174314,0.2096910073132794,7.0,19.754679,20.2459,19.7737956,19.897400500000003,20.0352,20.1123295,20.22166,0.0,95.86843432057428,4.47200345993042
ZTF24abiuizp,2024-09-24,bad,33.0,19.604439,25.52091789245605,19.643772751708983,19.73711585998535,20.04843139648437,22.383377075195312,24.11264114379883,0.0,8.0,19.604439,20.0357,19.6236351,19.662708,19.7098365,19.8974155,19.9923,0.0,0.871551150519525,3.988243341445923
ZTF24abiumhn,,good,27.0,20.41694068908692,25.499252319335938,20.54873486419677,20.96429443359375,22.38370704650879,23.497600555419925,24.875000381469725,0.0,2.0,20.5028,20.760582,20.5156891,20.5672455,20.631691,20.6961365,20.7476929,0.0,2.745108091321523,0.8728848695755005
ZTF24abiuojq,,good,42.0,20.35521,28.722291946411133,20.47850065231324,20.647722559356687,20.92120189971924,22.59017324447632,24.88145627975464,0.0,8.0,20.35521,20.9014,20.3953165,20.4963725,20.5982825,20.70645,20.877635,0.0,21.810643940351213,1.4782658815383911
ZTF24abivcdd,,good,31.0,20.068660736083984,24.507747650146484,20.08581829071045,20.196564135742182,20.4008,22.26469039916992,24.00394344329834,0.0,12.0,20.1297,20.5564,20.1411037,20.189475,20.24077,20.400895,20.473185,0.0,19.141432607648515,3.156189203262329
ZTF24abivkgx,,good,65.0,19.002546310424805,25.112680435180664,19.08396227919922,19.485867,19.917863845825195,22.33451271057129,24.29399642944336,0.0,18.0,19.02709,20.6922,19.0827038,19.3124725,19.557747,19.828586,20.1001529,0.1412811739935684,0.6786152336429306,1.2039835453033447
ZTF24abiwsnm,,good,86.0,19.793312072753903,26.221179962158203,19.869518359375,20.1628725,20.2414485,20.37309169769287,23.57125949859619,0.0,29.0,19.825747,20.4108,19.882888,20.162153,20.22921,20.276478,20.3507762,0.0049641544131538,1.369126911351655,0.3867150843143463
ZTF24abiwssp,,good,43.0,20.087804794311523,26.21381950378418,20.12526,20.46766070892334,21.334688186645508,23.24742317199708,24.69520530700684,0.0,8.0,20.098375,20.5318,20.10765875,20.1276,20.35635,20.4685175,20.52459,0.0,0.5283245929888242,0.9498734474182129
ZTF24abiwuca,,good,25.0,19.01497268676757,25.479969024658203,19.06952330654297,19.45218086242676,20.42966651916504,22.816530227661133,24.155991363525388,0.0,3.0,19.226683,19.515799,19.2423341,19.3049385,19.383194,19.4494965,19.5025385,0.0013952465914544,74.57857586311583,4.951466083526611
ZTF24abiwuzl,,good,97.0,19.65070343017578,29.574115753173828,19.771878814697267,19.862993,20.017688751220703,20.69099998474121,24.534577178955075,0.0,27.0,19.732237,20.4006,19.8011108,19.8615915,19.944399,20.076481,20.36884,0.0111636141206927,3.6941038416741834,1.7211015224456787
ZTF24abixoin,,good,38.0,19.906504,26.651472091674805,19.994997024536133,20.18695068359376,20.53743553161621,21.540181636810303,23.98163604736328,0.0,5.0,19.906504,20.292547,19.9315592,20.03178,20.113674,20.222612,20.27856,0.0,12.28805417446498,3.146239757537842
ZTF24abixvae,2024-09-26,bad,40.0,20.054351806640625,25.892284393310547,20.2013082,20.315260767578124,20.807238578796387,22.36593198776245,23.472074794769288,0.0,10.0,20.093164,21.0033,20.1443902,20.2295245,20.298898,20.4210485,20.779839,0.0205468950505949,2.5045858695702288,2.1225218772888184
ZTF24abixvyb,,good,26.0,19.676779,23.642656326293945,19.71290397644043,19.78978544616699,20.100849151611328,22.658998489379883,23.13741159439087,1.2822913278968224,8.0,19.676779,20.258383,19.7139294,19.78439825,19.819713,19.884025,20.13147895,0.0,10.51157110166197,1.0611070394515991
ZTF24abixzdk,2024-09-24,bad,36.0,19.893796920776367,27.081069946289062,19.91771894067383,20.01137685775757,20.67667925262451,22.83381175994873,24.97124433517456,0.0,9.0,19.893944,20.7105,19.9164064,19.96326,20.029587,20.21942,20.5855652,0.0256669170232834,0.8871279263476962,1.4463695287704468
ZTF24abiydie,2024-09-28,bad,32.0,19.533064,27.73979377746582,19.8574258010254,20.12565885427856,20.508110046386715,21.826145172119137,23.30887489318848,0.0,10.0,19.533064,20.5636,19.6346587,19.972694,20.069846,20.38992875,20.524,0.0609748456658992,3.913209402919641,6.683845043182373
